,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
39,39,mths_since_issue_d:49-52,-1.4200960413595431,0.0,mths_since_issue_d,-99.91817402515476,-100.0,-0.08182597484524479,-100.0
40,40,mths_since_issue_d:53-64,-1.456617187213747,0.0,mths_since_issue_d,-102.48780741668571,-102.0,0.4878074166857118,-102.0
41,41,mths_since_issue_d:65-84,-1.49981033439481,0.0,mths_since_issue_d,-105.5268838390098,-106.0,-0.4731161609902017,-106.0
42,42,int_rate:<9.548,0.02168666798970562,0.3589996964019756,int_rate,1.5258772668267304,2.0,0.4741227331732696,2.0
43,43,int_rate:9.548-12.025,-0.14439215787131834,4.319394114465382e-12,int_rate,-10.159454246659113,-10.0,0.1594542466591129,-10.0
44,44,int_rate:12.025-15.74,-0.2179049240885053,7.21674788353536e-45,int_rate,-15.331823687902919,-15.0,0.3318236879029186,-15.0
45,45,int_rate:15.74-20.281,-0.1576777987857461,4.3979105442456917e-41,int_rate,-11.094233967369153,-11.0,0.0942339673691528,-11.0
46,46,mths_since_earliest_cr_line:141-164,-0.07831315106906332,3.397615846612535e-19,mths_since_earliest_cr_line,-5.51012525144824,-6.0,-0.4898747485517596,-6.0
47,47,mths_since_earliest_cr_line:165-247,-0.09335809238039222,3.5515535533689785e-37,mths_since_earliest_cr_line,-6.5686896163657265,-7.0,-0.43131038363427354,-7.0
48,48,mths_since_earliest_cr_line:248-270,-0.08100260913745035,1.917658073016633e-13,mths_since_earliest_cr_line,-5.699355931264222,-6.0,-0.3006440687357781,-6.0
49,49,mths_since_earliest_cr_line:271-352,-0.043462790053433654,2.634486266170628e-06,mths_since_earliest_cr_line,-3.058048535942823,-3.0,0.05804853594282289,-3.0
50,50,mths_since_earliest_cr_line:>352,-0.07076035553777435,2.939397227022843e-11,mths_since_earliest_cr_line,-4.9787094061162165,-5.0,-0.021290593883783515,-5.0
51,51,delinq_2yrs:0,0.03587388814963318,0.08816213844372134,delinq_2yrs,2.5240922407349102,3.0,0.47590775926508977,3.0
52,52,delinq_2yrs:1-3,0.019439139358293233,0.32031277034568684,delinq_2yrs,1.3677408095875514,1.0,-0.3677408095875514,1.0
53,53,inq_last_6mths:0,0.7599951707389399,2.0432145375708646e-68,inq_last_6mths,53.47337610734499,53.0,-0.4733761073449898,53.0
54,54,inq_last_6mths:1-2,0.5646959240394304,1.9390170449826473e-38,inq_last_6mths,39.73209132774561,40.0,0.26790867225439285,40.0
55,55,inq_last_6mths:3-6,0.37170007394140586,5.577254732004764e-17,inq_last_6mths,26.15287388427921,26.0,-0.15287388427920945,26.0
56,56,total_acc:28-51,-0.07280677392911752,5.691656283001065e-38,total_acc,-5.122695716196167,-5.0,0.1226957161961666,-5.0
57,57,total_acc:>=52,-0.11658978763341475,8.526268685913011e-16,total_acc,-8.203275237045704,-8.0,0.2032752370457036,-8.0
58,58,acc_now_delinq:>=1,0.11703658085286364,0.0024995012644409005,acc_now_delinq,8.234711676099089,8.0,-0.2347116760990886,8.0
59,59,total_rev_hi_lim:5K-10K,0.04609228896368457,0.00027851659219788597,total_rev_hi_lim,3.24306048024898,3.0,-0.24306048024897997,3.0
